날짜,종가,거래량
2021.06.23,80100.0,13856548
2021.06.24,81200.0,18771080
2021.06.25,81600.0,13481405
2021.06.28,81900.0,11578529
2021.06.29,81000.0,15744317
2021.06.30,80700.0,13288643
2021.07.01,80100.0,13382882
2021.07.02,80000.0,8753097
2021.07.05,80400.0,8330969
2021.07.06,81200.0,12131651
2021.07.07,80800.0,15992202
2021.07.08,79900.0,16660998
2021.07.09,79400.0,22720577
2021.07.12,79700.0,9768108
2021.07.13,79800.0,9863450
2021.07.14,79500.0,11575636
2021.07.15,80600.0,13766279
2021.07.16,79800.0,10859399
2021.07.19,79000.0,13155414
2021.07.20,79000.0,12456646
2021.07.21,78500.0,12355296
2021.07.22,79700.0,12618790
2021.07.23,79300.0,9098910
2021.07.26,78800.0,10040975
2021.07.27,78500.0,11427693
2021.07.28,79200.0,12743417
2021.07.29,79000.0,14360453
2021.07.30,78500.0,13823411
2021.08.02,79300.0,11739124
2021.08.03,81400.0,24339360
2021.08.04,82900.0,25642368
2021.08.05,82100.0,18485469
2021.08.06,81500.0,13342623
2021.08.09,81500.0,15522581
2021.08.10,80200.0,20362639
2021.08.11,78500.0,30241137
2021.08.12,77000.0,42365223
2021.08.13,74400.0,61270643
2021.08.17,74200.0,30944847
2021.08.18,73900.0,29192631
2021.08.19,73100.0,22166298
2021.08.20,72700.0,22364803
2021.08.23,73300.0,19384648
2021.08.24,75600.0,21016913
2021.08.25,75700.0,22319664
2021.08.26,74600.0,16671494
2021.08.27,74300.0,15172748
2021.08.30,74600.0,12686999
2021.08.31,76700.0,24630370
2021.09.01,76800.0,16114775
2021.09.02,76000.0,15347486
2021.09.03,76600.0,12096419
2021.09.06,77300.0,12861180
2021.09.07,76100.0,13239401
2021.09.08,76300.0,11798147
2021.09.09,75300.0,17600770
2021.09.10,75300.0,10103212
2021.09.13,76300.0,11397775
2021.09.14,76600.0,18167057
2021.09.15,77000.0,12829128
2021.09.16,76100.0,13067622
2021.09.17,77200.0,16289502
2021.09.23,77400.0,17055590
2021.09.24,77300.0,12247274
2021.09.27,77700.0,11699798
2021.09.28,76300.0,15406382
2021.09.29,74100.0,23992458
2021.09.30,74100.0,19919361
2021.10.01,73200.0,15803395
2021.10.05,72200.0,24013921
2021.10.06,71300.0,18956962
2021.10.07,71600.0,13683532
2021.10.08,71500.0,14043287
2021.10.12,69000.0,31001484
2021.10.13,68800.0,24172015
2021.10.14,69400.0,19520641
2021.10.15,70100.0,18051612
2021.10.18,70200.0,13486391
2021.10.19,70600.0,9507991
2021.10.20,70300.0,10151638
2021.10.21,70200.0,10891094
2021.10.22,70400.0,8395448
2021.10.25,70200.0,10029621
2021.10.26,71100.0,10528252
2021.10.27,70100.0,10295316
2021.10.28,70700.0,20644902
2021.10.29,69800.0,17016151
2021.11.01,69900.0,11503729
2021.11.02,71500.0,16812570
2021.11.03,70400.0,12770428
2021.11.04,70600.0,11818987
2021.11.05,70200.0,12667743
2021.11.08,70600.0,11121981
2021.11.09,70500.0,11159589
2021.11.10,70200.0,9422009
2021.11.11,69900.0,11489122
2021.11.12,70600.0,10087450
2021.11.15,71400.0,12420710
2021.11.16,71300.0,10919239
2021.11.17,70700.0,11027606
2021.11.18,70200.0,10144957
2021.11.19,71200.0,11954728
2021.11.22,74900.0,27506623
2021.11.23,75300.0,22029195
2021.11.24,74800.0,15652305
2021.11.25,73700.0,12559258
2021.11.26,72300.0,13002242
2021.11.29,72300.0,16682559
2021.11.30,71300.0,30364841
2021.12.01,74400.0,21954856
2021.12.02,75800.0,23652940
2021.12.03,75600.0,18330240
2021.12.06,76300.0,16391250
2021.12.07,77400.0,19232453
2021.12.08,77400.0,21558340
2021.12.09,78200.0,21604528
2021.12.10,76900.0,9155219
2021.12.13,76800.0,15038750
2021.12.14,77000.0,10976660
2021.12.15,77600.0,9584939
2021.12.16,77800.0,11996128
2021.12.17,78000.0,13108479
2021.12.20,77100.0,11264375
2021.12.21,78100.0,14245298
2021.12.22,79400.0,17105892
2021.12.23,79900.0,13577498
2021.12.24,80500.0,12086380
2021.12.27,80200.0,10783368
2021.12.28,80300.0,18226325
2021.12.29,78800.0,19794795
2021.12.30,78300.0,14236700
2022.01.03,78600.0,13502112
2022.01.04,78700.0,12427416
2022.01.05,77400.0,25470640
2022.01.06,76900.0,12931954
2022.01.07,78300.0,15163757
2022.01.10,78000.0,9947422
2022.01.11,78900.0,13221123
2022.01.12,78900.0,11000502
2022.01.13,77900.0,13889401
2022.01.14,77300.0,10096725
2022.01.17,77500.0,8785122
